ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000284662	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ENSG00000186827	14	14	10	8	39	14	22	40	137	26	38	10	26	61	31	12
ENSG00000186891	17	9	4	6	34	7	5	24	47	32	38	6	25	87	19	10
ENSG00000160072	58	31	50	56	184	72	75	225	157	217	99	82	67	346	179	95
ENSG00000041988	31	7	21	27	55	23	24	67	46	87	14	16	28	66	61	29
ENSG00000260179	0	0	4	0	6	2	3	1	7	1	0	0	0	8	11	9
ENSG00000234396	3	0	4	1	1	1	4	17	3	1	0	1	0	4	0	5
ENSG00000225972	28	26	18	16	108	388	97	124	543	105	67	110	61	66	1820	233
ENSG00000224315	1	2	3	14	9	7	2	19	3	0	2	0	2	2	0	0
ENSG00000198744	18	14	21	13	77	22	47	14	14	39	12	8	24	13	34	25
ENSG00000279928	3	2	6	0	4	2	2	11	8	9	3	3	6	0	7	5
ENSG00000228037	0	0	2	0	2	2	2	13	1	1	4	0	7	7	0	6
ENSG00000142611	33	10	16	12	53	84	50	213	78	72	35	49	27	67	79	63
ENSG00000225630	889	349	620	1077	934	885	4654	1800	804	1328	442	413	321	768	2033	757
ENSG00000067606	38	21	22	33	44	62	52	193	78	40	14	44	35	178	43	50
ENSG00000131584	116	32	36	67	291	90	81	238	200	455	155	59	63	243	446	111
ENSG00000227589	11	4	14	4	6	6	11	50	3	2	0	2	1	12	3	18
ENSG00000237402	0	2	2	14	2	2	3	9	1	0	0	0	1	3	0	1
ENSG00000284616	0	2	3	8	3	5	1	15	1	0	1	4	2	2	1	1
ENSG00000169972	25	6	3	2	42	44	14	23	82	66	23	11	33	50	72	26
ENSG00000157911	12	4	3	20	34	28	24	49	21	48	16	19	11	30	49	30
ENSG00000269896	3	1	2	1	4	6	2	28	9	12	5	7	4	27	5	4
ENSG00000237973	465	111	130	296	578	251	898	416	93	348	110	67	152	177	223	113
ENSG00000224051	15	6	5	23	56	19	27	35	47	86	32	11	22	53	115	20
ENSG00000228750	14	5	21	21	18	18	10	45	7	3	2	4	4	8	1	14
ENSG00000228463	4	6	18	13	9	16	10	31	8	7	3	6	2	9	77	4
ENSG00000238260	0	1	0	0	1	2	0	6	0	1	5	1	0	4	4	0
ENSG00000260972	3	0	6	8	2	8	3	22	3	1	0	0	0	5	0	2
